dataset,method,parameters,change_points,time_ms
lga_passengers,MicroWatch(idx=5),"{""batch_size"":4.0,""max_dist_size"":17.0,""threshold_ratio"":1.264276913,""new_dist_buffer_size"":31.0}",88;124;280;340;436,0.026
lga_passengers,MicroWatch(idx=6),"{""batch_size"":3.0,""max_dist_size"":21.0,""threshold_ratio"":1.042967553,""new_dist_buffer_size"":11.0}",12;27;48;87;123;144;165;186;243;273;294;447,0.040
lga_passengers,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,9.025
lga_passengers,CUSUM,"twarmup=294, plimit=0.571143058904489",58;101;194;261;303;347;394;441,0.008
lga_passengers,PELT,"penalty=7, jump=8, min_size=1",14;110;164;254;423;468,20.495
bitcoin,MicroWatch(idx=0),"{""max_dist_size"":79.0,""new_dist_buffer_size"":13.0,""threshold_ratio"":0.925766865,""batch_size"":5.0}",,0.040
bitcoin,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":14.0,""threshold_ratio"":3.565927843,""max_dist_size"":17.0}",15;85;520;545;570;585;600;625;705;750,0.039
bitcoin,MicroWatch(idx=2),"{""max_dist_size"":52.0,""batch_size"":6.0,""threshold_ratio"":2.835249497,""new_dist_buffer_size"":28.0}",90;516;582,0.038
bitcoin,MicroWatch(idx=3),"{""batch_size"":3.0,""threshold_ratio"":2.163913651,""max_dist_size"":46.0,""new_dist_buffer_size"":10.0}",12;90;519;546,0.057
bitcoin,MicroWatch(idx=4),"{""batch_size"":4.0,""threshold_ratio"":2.373581048,""new_dist_buffer_size"":21.0,""max_dist_size"":40.0}",88;520;544;580;704;748,0.063
bitcoin,MicroWatch(idx=5),"{""threshold_ratio"":2.212551814,""max_dist_size"":24.0,""new_dist_buffer_size"":30.0,""batch_size"":5.0}",85;510;545;580,0.037
bitcoin,MicroWatch(idx=6),"{""threshold_ratio"":1.209374623,""new_dist_buffer_size"":43.0,""max_dist_size"":33.0,""batch_size"":4.0}",84;492;544;588;708;756,0.032
bitcoin,BOCPD,"alpha=0.001, beta=0.001, kappa=2, mu=5",,22.857
bitcoin,CUSUM,"twarmup=290, plimit=0.6657471216052517",71;115;196;233;334;394;465;510;549;584;627;681;723;760,0.012
bitcoin,PELT,"penalty=6, jump=8, min_size=1",452;519;546;568;587;600;619;649;703;747;760;774,55.191
nile,MicroWatch(idx=0),"{""threshold_ratio"":0.998558568,""new_dist_buffer_size"":21.0,""batch_size"":4.0,""max_dist_size"":45.0}",,0.011
nile,MicroWatch(idx=1),"{""new_dist_buffer_size"":16.0,""threshold_ratio"":2.044955484,""batch_size"":4.0,""max_dist_size"":26.0}",28,0.128
nile,MicroWatch(idx=2),"{""new_dist_buffer_size"":14.0,""threshold_ratio"":2.797278577,""batch_size"":4.0,""max_dist_size"":64.0}",,0.012
nile,MicroWatch(idx=3),"{""new_dist_buffer_size"":27.0,""batch_size"":4.0,""threshold_ratio"":1.942739307,""max_dist_size"":62.0}",,0.011
nile,MicroWatch(idx=4),"{""max_dist_size"":89.0,""threshold_ratio"":3.265373245,""new_dist_buffer_size"":10.0,""batch_size"":4.0}",28,0.027
nile,MicroWatch(idx=5),"{""max_dist_size"":26.0,""threshold_ratio"":0.262743378,""batch_size"":3.0,""new_dist_buffer_size"":23.0}",24,0.008
nile,MicroWatch(idx=6),"{""max_dist_size"":40.0,""batch_size"":4.0,""threshold_ratio"":1.184525963,""new_dist_buffer_size"":25.0}",28,0.008
nile,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.408
nile,CUSUM,"twarmup=121, plimit=0.1323502965647935",41,0.002
nile,PELT,"penalty=1, jump=2, min_size=9",27;100,0.259
usd_isk,MicroWatch(idx=0),"{""threshold_ratio"":0.993889287,""batch_size"":3.0,""new_dist_buffer_size"":30.0,""max_dist_size"":60.0}",30;117;246,0.037
usd_isk,MicroWatch(idx=1),"{""max_dist_size"":19.0,""batch_size"":3.0,""threshold_ratio"":2.465336954,""new_dist_buffer_size"":25.0}",33;117,0.014
usd_isk,MicroWatch(idx=2),"{""max_dist_size"":46.0,""threshold_ratio"":1.288671441,""new_dist_buffer_size"":33.0,""batch_size"":3.0}",69;114,0.024
usd_isk,MicroWatch(idx=3),"{""max_dist_size"":25.0,""batch_size"":3.0,""new_dist_buffer_size"":27.0,""threshold_ratio"":2.219617646}",33;117,0.012
usd_isk,MicroWatch(idx=4),"{""new_dist_buffer_size"":32.0,""threshold_ratio"":1.343401745,""max_dist_size"":66.0,""batch_size"":3.0}",33;117,0.049
usd_isk,MicroWatch(idx=5),"{""threshold_ratio"":2.11266592,""new_dist_buffer_size"":32.0,""max_dist_size"":50.0,""batch_size"":3.0}",72,0.030
usd_isk,MicroWatch(idx=6),"{""threshold_ratio"":2.10463233,""max_dist_size"":13.0,""new_dist_buffer_size"":25.0,""batch_size"":3.0}",33;117,0.011
usd_isk,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,2.489
usd_isk,CUSUM,"twarmup=167, plimit=0.13099419591541206",36;74;117;225,0.005
usd_isk,PELT,"penalty=20, jump=5, min_size=1",117;247,4.791
measles,MicroWatch(idx=0),"{""batch_size"":3.0,""threshold_ratio"":0.413195058,""new_dist_buffer_size"":49.0,""max_dist_size"":62.0}",,0.047
measles,MicroWatch(idx=1),"{""new_dist_buffer_size"":37.0,""max_dist_size"":87.0,""batch_size"":4.0,""threshold_ratio"":3.998925562}",,0.047
measles,MicroWatch(idx=2),"{""new_dist_buffer_size"":22.0,""threshold_ratio"":3.44513407,""max_dist_size"":89.0,""batch_size"":3.0}",,0.055
measles,MicroWatch(idx=3),"{""threshold_ratio"":3.769623797,""max_dist_size"":88.0,""batch_size"":6.0,""new_dist_buffer_size"":8.0}",,0.043
measles,MicroWatch(idx=4),"{""threshold_ratio"":3.643604134,""max_dist_size"":85.0,""batch_size"":4.0,""new_dist_buffer_size"":35.0}",,0.066
measles,MicroWatch(idx=5),"{""max_dist_size"":94.0,""batch_size"":5.0,""new_dist_buffer_size"":7.0,""threshold_ratio"":3.65312537}",685,0.082
measles,MicroWatch(idx=6),"{""batch_size"":4.0,""max_dist_size"":79.0,""threshold_ratio"":3.819045087,""new_dist_buffer_size"":44.0}",,0.039
measles,BOCPD,"alpha=0.001, beta=0.001, kappa=5, mu=0",,36.017
measles,CUSUM,"twarmup=143, plimit=0.05171962787404024",38;84;119;155;193;236;311;359;403;444;478;520;574;611;653;687;731;774;816;861;896;945;988,0.011
measles,PELT,"penalty=20, jump=1, min_size=1",991,101.986
