dataset,method,parameters,change_points,time_ms
debt_ireland,PELT,"penalty=0.0000000001, jump=2, min_size=6",6;12;18;21,0.019
ratner_stock,MicroWatch(idx=0),"{""batch_size"":6.0,""new_dist_buffer_size"":6.0,""max_dist_size"":70.0,""threshold_ratio"":0.977566261}",,0.027
ratner_stock,MicroWatch(idx=1),"{""threshold_ratio"":3.091763487,""max_dist_size"":45.0,""batch_size"":4.0,""new_dist_buffer_size"":24.0}",276,0.028
ratner_stock,MicroWatch(idx=2),"{""threshold_ratio"":2.300857264,""new_dist_buffer_size"":15.0,""batch_size"":6.0,""max_dist_size"":69.0}",270,0.030
ratner_stock,MicroWatch(idx=3),"{""max_dist_size"":15.0,""threshold_ratio"":3.420572722,""new_dist_buffer_size"":12.0,""batch_size"":5.0}",210;270;330;405;455,0.021
ratner_stock,MicroWatch(idx=4),"{""new_dist_buffer_size"":39.0,""batch_size"":6.0,""max_dist_size"":30.0,""threshold_ratio"":2.080022544}",210;270,0.027
ratner_stock,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":79.0,""new_dist_buffer_size"":37.0,""threshold_ratio"":1.579000706}",162,0.121
ratner_stock,MicroWatch(idx=6),"{""batch_size"":5.0,""threshold_ratio"":1.305230664,""new_dist_buffer_size"":11.0,""max_dist_size"":89.0}",15;30;80;160;205;245;260;275;290;305;330;355;405;455;560;580;595,0.138
ratner_stock,BOCPD,"alpha=0.01, beta=0.1, kappa=0.1, mu=10",200;267,13.571
ratner_stock,CUSUM,"twarmup=299, plimit=0.876822018756594",40;81;146;202;250;286;335;376;410;453;498;535;575,0.007
ratner_stock,PELT,"penalty=6, jump=4, min_size=1",208;273;600,27.735
centralia,MicroWatch(idx=0),"{""batch_size"":3.0,""threshold_ratio"":3.702761017,""new_dist_buffer_size"":12.0,""max_dist_size"":23.0}",,0.007
centralia,MicroWatch(idx=1),"{""threshold_ratio"":2.504126059,""new_dist_buffer_size"":12.0,""batch_size"":6.0,""max_dist_size"":36.0}",12,0.003
centralia,MicroWatch(idx=2),"{""new_dist_buffer_size"":11.0,""max_dist_size"":75.0,""batch_size"":4.0,""threshold_ratio"":0.669825711}",12,0.002
centralia,MicroWatch(idx=3),"{""batch_size"":6.0,""max_dist_size"":42.0,""threshold_ratio"":0.460242184,""new_dist_buffer_size"":7.0}",12,0.002
centralia,MicroWatch(idx=4),"{""batch_size"":6.0,""max_dist_size"":15.0,""threshold_ratio"":0.447929601,""new_dist_buffer_size"":10.0}",12,0.005
centralia,MicroWatch(idx=5),"{""max_dist_size"":82.0,""batch_size"":3.0,""threshold_ratio"":1.744701207,""new_dist_buffer_size"":3.0}",3,0.015
centralia,MicroWatch(idx=6),"{""threshold_ratio"":2.747649263,""new_dist_buffer_size"":48.0,""batch_size"":4.0,""max_dist_size"":57.0}",,0.001
centralia,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.012
centralia,CUSUM,"twarmup=11, plimit=0.5221963846740868",,0.001
centralia,PELT,"penalty=1, jump=6, min_size=1",9;15,0.016
brent_spot,MicroWatch(idx=0),"{""batch_size"":3.0,""max_dist_size"":92.0,""new_dist_buffer_size"":31.0,""threshold_ratio"":1.040997484}",,0.047
brent_spot,MicroWatch(idx=1),"{""new_dist_buffer_size"":7.0,""batch_size"":5.0,""max_dist_size"":96.0,""threshold_ratio"":3.90884706}",45;215;225;240;250;280;375,0.075
