dataset,algorithm,f1,precision,recall,cover
centralia,CUSUM,0.9090909090909091,1.0,0.8333333333333333,0.7533333333333333
centralia,MicroWatch,0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
centralia,PELT,0.9090909090909091,1.0,0.8333333333333333,0.5635978835978837
centralia,BOCPDMS_univ,0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
centralia,BOCPDMS_multi,0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
children_per_woman,BOCPD,0.2222222222222222,0.125,1.0,0.15813953488372096
children_per_woman,CUSUM,0.4615384615384615,0.3,1.0,0.24947145877378438
children_per_woman,MicroWatch,0.31017119838872104,0.2222222222222222,0.5133333333333333,0.266929847778001
children_per_woman,PELT,0.6175115207373272,1.0,0.44666666666666666,0.7938212009317824
children_per_woman,BOCPDMS_univ,0.07048458149779735,0.0365296803652968,1.0,0.1745749462575728
children_per_woman,BOCPDMS_multi,0.5074626865671642,1.0,0.33999999999999997,0.42910563901060694
co2_canada,BOCPD,0.37681159420289856,0.23214285714285715,1.0,0.1972093023255814
co2_canada,CUSUM,0.6031381553769614,0.4444444444444444,0.9380952380952381,0.5247685152057244
co2_canada,MicroWatch,0.46393210749646396,0.5714285714285714,0.3904761904761905,0.5032237682113141
co2_canada,PELT,0.8925510876730389,1.0,0.805952380952381,0.7494337935369184
co2_canada,BOCPDMS_univ,0.15476190476190477,0.08387096774193549,1.0,0.2641860465116279
co2_canada,BOCPDMS_multi,0.36097560975609755,1.0,0.22023809523809526,0.2775684153596538
construction,BOCPD,0.16901408450704225,0.09230769230769231,1.0,0.1786833855799373
construction,CUSUM,0.27777777777777773,0.16129032258064516,1.0,0.14921630094043886
construction,MicroWatch,0.41379310344827586,0.3,0.6666666666666666,0.24150470219435735
construction,PELT,0.17857142857142855,0.09803921568627451,1.0,0.06722856884494816
construction,BOCPDMS_univ,0.09964412811387899,0.05263157894736842,0.9333333333333332,0.13977503226996127
construction,BOCPDMS_multi,0.6956521739130436,1.0,0.5333333333333333,0.5746032369964917
debt_ireland,BOCPD,0.8558139534883721,0.8,0.9199999999999999,0.41858998144712434
debt_ireland,CUSUM,0.9583333333333333,1.0,0.9199999999999999,0.7690665154950869
debt_ireland,MicroWatch,0.4693877551020408,1.0,0.30666666666666664,0.32063492063492066
debt_ireland,PELT,0.9583333333333333,1.0,0.9199999999999999,0.8136243386243386
debt_ireland,BOCPDMS_univ,0.4693877551020408,1.0,0.30666666666666664,0.32063492063492066
debt_ireland,BOCPDMS_multi,0.4693877551020408,1.0,0.30666666666666664,0.32063492063492066
gdp_argentina,BOCPD,0.6153846153846153,0.4444444444444444,1.0,0.34607087827426813
gdp_argentina,CUSUM,0.5294117647058825,0.375,0.9,0.2857427716849452
gdp_argentina,MicroWatch,0.888888888888889,1.0,0.8,0.5845941317595322
gdp_argentina,PELT,0.6153846153846153,0.4444444444444444,1.0,0.24482109227871943
gdp_argentina,BOCPDMS_univ,0.31034482758620696,0.1875,0.9,0.46610447802733024
gdp_argentina,BOCPDMS_multi,0.8235294117647058,1.0,0.7,0.737087043952887
gdp_croatia,BOCPD,0.5714285714285715,0.4,1.0,0.37499999999999994
gdp_croatia,CUSUM,0.5833333333333334,0.5,0.7,0.6053921568627451
gdp_croatia,MicroWatch,0.8235294117647058,1.0,0.7,0.7083333333333333
gdp_croatia,PELT,0.6666666666666666,0.5,1.0,0.4
gdp_croatia,BOCPDMS_univ,0.8235294117647058,1.0,0.7,0.7083333333333333
gdp_croatia,BOCPDMS_multi,0.8235294117647058,1.0,0.7,0.7083333333333333
gdp_iran,BOCPD,0.6666666666666666,0.5,1.0,0.30028882994400236
gdp_iran,CUSUM,0.6511627906976745,0.5,0.9333333333333332,0.3470529772707631
gdp_iran,MicroWatch,0.6956521739130436,1.0,0.5333333333333334,0.5832810867293625
gdp_iran,PELT,0.7142857142857143,0.5555555555555556,1.0,0.27772988505747126
