dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
gdp_japan,MicroWatch(idx=5),100.0,100.0,100.0,65.89,1,2
gdp_japan,MicroWatch(idx=6),100.0,100.0,100.0,73.1,1,2
gdp_japan,CUSUM,100.0,100.0,100.0,72.03,1,2
gdp_japan,MicroWatch(idx=0),88.89,100.0,80.0,80.21,0,2
gdp_japan,BOCPD,88.89,100.0,80.0,80.21,0,2
gdp_japan,PELT,88.89,100.0,80.0,80.21,0,2
global_co2,MicroWatch(idx=1),92.86,100.0,86.67,74.86,1,4
global_co2,MicroWatch(idx=3),92.86,100.0,86.67,74.86,1,4
global_co2,MicroWatch(idx=4),92.86,100.0,86.67,74.86,1,4
global_co2,MicroWatch(idx=5),92.86,100.0,86.67,74.86,1,4
global_co2,MicroWatch(idx=0),84.62,100.0,73.33,75.83,0,4
global_co2,MicroWatch(idx=2),84.62,100.0,73.33,75.83,0,4
global_co2,BOCPD,84.62,100.0,73.33,75.83,0,4
global_co2,PELT,84.62,100.0,73.33,75.83,0,4
global_co2,CUSUM,75.36,66.67,86.67,60.41,2,4
global_co2,MicroWatch(idx=6),59.46,50.0,73.33,59.6,1,4
homeruns,MicroWatch(idx=4),94.74,100.0,90.0,69.22,3,11
homeruns,MicroWatch(idx=1),87.32,100.0,77.5,70.28,2,11
homeruns,MicroWatch(idx=2),87.32,100.0,77.5,70.28,2,11
homeruns,MicroWatch(idx=5),87.32,100.0,77.5,70.28,2,11
homeruns,PELT,81.19,100.0,68.33,69.38,1,11
homeruns,BOCPD,76.23,75.0,77.5,65.03,3,11
homeruns,MicroWatch(idx=0),65.92,100.0,49.17,51.07,0,11
homeruns,MicroWatch(idx=3),62.22,66.67,58.33,59.89,2,11
homeruns,MicroWatch(idx=6),60.08,57.14,63.33,37.85,6,11
homeruns,CUSUM,58.22,66.67,51.67,51.99,2,11
iceland_tourism,MicroWatch(idx=0),94.74,100.0,90.0,94.6,0,1
iceland_tourism,BOCPD,94.74,100.0,90.0,94.6,0,1
iceland_tourism,PELT,94.74,100.0,90.0,94.6,0,1
iceland_tourism,MicroWatch(idx=1),80.0,66.67,100.0,70.75,2,1
iceland_tourism,MicroWatch(idx=4),80.0,66.67,100.0,72.13,2,1
iceland_tourism,CUSUM,66.67,50.0,100.0,36.19,3,1
iceland_tourism,MicroWatch(idx=2),64.29,50.0,90.0,83.04,1,1
iceland_tourism,MicroWatch(idx=3),64.29,50.0,90.0,88.57,1,1
iceland_tourism,MicroWatch(idx=5),64.29,50.0,90.0,77.48,1,1
iceland_tourism,MicroWatch(idx=6),39.13,25.0,90.0,64.3,3,1
jfk_passengers,MicroWatch(idx=1),77.55,100.0,63.33,83.46,1,5
jfk_passengers,MicroWatch(idx=4),77.55,100.0,63.33,83.93,1,5
jfk_passengers,PELT,77.55,100.0,63.33,83.69,1,5
jfk_passengers,MicroWatch(idx=0),72.34,100.0,56.67,62.98,0,5
jfk_passengers,BOCPD,72.34,100.0,56.67,62.98,0,5
jfk_passengers,MicroWatch(idx=5),64.96,66.67,63.33,82.75,2,5
jfk_passengers,MicroWatch(idx=2),53.12,50.0,56.67,76.2,1,5
jfk_passengers,MicroWatch(idx=3),53.12,50.0,56.67,81.19,1,5
jfk_passengers,MicroWatch(idx=6),43.68,33.33,63.33,47.84,5,5
jfk_passengers,CUSUM,43.68,33.33,63.33,47.52,5,5
lga_passengers,MicroWatch(idx=1),87.96,100.0,78.5,60.22,5,17
lga_passengers,MicroWatch(idx=4),79.5,83.33,76.0,58.71,5,17
lga_passengers,MicroWatch(idx=2),59.05,66.67,53.0,46.92,2,17
lga_passengers,MicroWatch(idx=6),57.71,46.15,77.0,40.74,12,17
lga_passengers,MicroWatch(idx=0),53.48,100.0,36.5,38.3,0,17
lga_passengers,BOCPD,53.48,100.0,36.5,38.3,0,17
lga_passengers,PELT,52.61,50.0,55.5,53.62,5,17
lga_passengers,MicroWatch(idx=3),51.46,50.0,53.0,52.64,3,17
lga_passengers,MicroWatch(idx=5),45.36,50.0,41.5,47.31,5,17
lga_passengers,CUSUM,28.31,22.22,39.0,41.81,8,17
measles,MicroWatch(idx=0),94.74,100.0,90.0,95.12,0,1
measles,MicroWatch(idx=1),94.74,100.0,90.0,95.12,0,1
measles,MicroWatch(idx=2),94.74,100.0,90.0,95.12,0,1
measles,MicroWatch(idx=3),94.74,100.0,90.0,95.12,0,1
measles,MicroWatch(idx=4),94.74,100.0,90.0,95.12,0,1
measles,MicroWatch(idx=6),94.74,100.0,90.0,95.12,0,1
measles,BOCPD,94.74,100.0,90.0,95.12,0,1
measles,PELT,94.74,100.0,90.0,95.12,0,1
measles,MicroWatch(idx=5),64.29,50.0,90.0,65.3,1,1
measles,CUSUM,7.96,4.17,90.0,8.5,23,1
nile,MicroWatch(idx=1),100.0,100.0,100.0,88.8,1,3
nile,MicroWatch(idx=4),100.0,100.0,100.0,88.8,1,3
nile,MicroWatch(idx=5),100.0,100.0,100.0,85.73,1,3
nile,MicroWatch(idx=6),100.0,100.0,100.0,88.8,1,3
nile,MicroWatch(idx=0),82.35,100.0,70.0,75.81,0,3
nile,MicroWatch(idx=2),82.35,100.0,70.0,75.81,0,3
nile,MicroWatch(idx=3),82.35,100.0,70.0,75.81,0,3
nile,BOCPD,82.35,100.0,70.0,75.81,0,3
nile,PELT,82.35,100.0,70.0,75.81,0,3
nile,CUSUM,58.33,50.0,70.0,70.47,1,3
occupancy,MicroWatch(idx=1),93.22,92.86,93.59,52.69,13,31
occupancy,MicroWatch(idx=4),90.37,100.0,82.44,66.75,6,31
occupancy,MicroWatch(idx=6),89.93,90.91,88.97,58.18,10,31
occupancy,MicroWatch(idx=3),81.9,83.33,80.51,54.7,11,31
occupancy,MicroWatch(idx=5),75.15,77.78,72.69,60.93,8,31
occupancy,MicroWatch(idx=2),64.28,62.5,66.15,58.96,7,31
occupancy,MicroWatch(idx=0),34.08,100.0,20.54,23.56,0,31
ozone,MicroWatch(idx=1),96.55,100.0,93.33,85.19,1,5
ozone,MicroWatch(idx=2),96.55,100.0,93.33,85.19,1,5
ozone,MicroWatch(idx=3),96.55,100.0,93.33,85.19,1,5
ozone,MicroWatch(idx=4),96.55,100.0,93.33,85.19,1,5
ozone,MicroWatch(idx=5),96.55,100.0,93.33,85.19,1,5
ozone,MicroWatch(idx=6),96.55,100.0,93.33,85.19,1,5
ozone,BOCPD,96.55,100.0,93.33,82.82,1,5
ozone,MicroWatch(idx=0),72.34,100.0,56.67,57.37,0,5
ozone,PELT,72.34,100.0,56.67,57.37,0,5
ozone,CUSUM,53.12,50.0,56.67,53.87,1,5
quality_control_1,MicroWatch(idx=1),100.0,100.0,100.0,99.62,1,5
quality_control_1,MicroWatch(idx=4),100.0,100.0,100.0,99.24,1,5
quality_control_1,BOCPD,100.0,100.0,100.0,97.98,1,5
quality_control_1,PELT,100.0,100.0,100.0,99.62,1,5
quality_control_1,MicroWatch(idx=5),80.0,66.67,100.0,88.78,2,5
quality_control_1,MicroWatch(idx=0),66.67,100.0,50.0,50.31,0,5
quality_control_1,MicroWatch(idx=3),50.0,50.0,50.0,75.73,1,5
quality_control_1,MicroWatch(idx=6),40.0,33.33,50.0,77.0,2,5
quality_control_1,CUSUM,28.57,20.0,50.0,61.02,4,5
