Dataset,Algorithm,Windows (ms),Ubuntu (ms),Raspberry Pi (ms)
homeruns,BOCPD,0.451,0.495,4.376
homeruns,CUSUM,0.001,0.002,0.012
homeruns,MicroWatch(idx=0),0.03,0.036,0.217
homeruns,MicroWatch(idx=1),0.021,0.023,0.116
homeruns,MicroWatch(idx=2),0.008,0.009,0.045
homeruns,MicroWatch(idx=3),0.01,0.01,0.068
homeruns,MicroWatch(idx=4),0.024,0.027,0.152
homeruns,MicroWatch(idx=5),0.012,0.014,0.079
homeruns,MicroWatch(idx=6),0.008,0.009,0.046
homeruns,PELT,1.047,1.024,5.554
iceland_tourism,BOCPD,1.274,1.853,12.347
iceland_tourism,CUSUM,0.004,0.004,0.023
iceland_tourism,MicroWatch(idx=0),0.015,0.018,0.102
iceland_tourism,MicroWatch(idx=1),0.013,0.014,0.065
iceland_tourism,MicroWatch(idx=2),0.019,0.022,0.117
iceland_tourism,MicroWatch(idx=3),0.032,0.036,0.234
iceland_tourism,MicroWatch(idx=4),0.05,0.058,0.346
iceland_tourism,MicroWatch(idx=5),0.04,0.046,0.257
iceland_tourism,MicroWatch(idx=6),0.025,0.027,0.153
iceland_tourism,PELT,2.721,3.463,15.529
jfk_passengers,BOCPD,7.443,8.507,67.352
jfk_passengers,CUSUM,0.013,0.013,0.089
jfk_passengers,MicroWatch(idx=0),0.023,0.025,0.139
jfk_passengers,MicroWatch(idx=1),0.036,0.038,0.206
jfk_passengers,MicroWatch(idx=2),0.015,0.017,0.101
jfk_passengers,MicroWatch(idx=3),0.016,0.018,0.117
jfk_passengers,MicroWatch(idx=4),0.03,0.034,0.197
jfk_passengers,MicroWatch(idx=5),0.02,0.023,0.131
jfk_passengers,MicroWatch(idx=6),0.022,0.024,0.132
jfk_passengers,PELT,15.793,15.929,91.215
lga_passengers,BOCPD,6.921,9.025,67.333
lga_passengers,CUSUM,0.008,0.008,0.057
lga_passengers,MicroWatch(idx=0),0.019,0.021,0.131
lga_passengers,MicroWatch(idx=1),0.112,0.114,0.611
lga_passengers,MicroWatch(idx=2),0.026,0.032,0.167
lga_passengers,MicroWatch(idx=3),0.062,0.092,0.49
lga_passengers,MicroWatch(idx=4),0.067,0.143,0.406
lga_passengers,MicroWatch(idx=5),0.023,0.026,0.144
lga_passengers,MicroWatch(idx=6),0.034,0.04,0.207
lga_passengers,PELT,17.201,20.495,99.906
measles,BOCPD,30.967,36.017,292.149
measles,CUSUM,0.025,0.011,0.075
measles,MicroWatch(idx=0),0.041,0.047,0.293
