dataset,method,parameters,change_points,time_ms
brent_spot,MicroWatch(idx=4),"{""threshold_ratio"":0.897043169,""batch_size"":4.0,""new_dist_buffer_size"":49.0,""max_dist_size"":59.0}",112;168;228;284;372,0.290
brent_spot,MicroWatch(idx=5),"{""batch_size"":5.0,""new_dist_buffer_size"":31.0,""threshold_ratio"":0.179403432,""max_dist_size"":22.0}",75;110;145;185;220;255;290;330;365,0.182
brent_spot,MicroWatch(idx=6),"{""new_dist_buffer_size"":36.0,""batch_size"":4.0,""threshold_ratio"":1.070024322,""max_dist_size"":47.0}",44;108;144;192;228;280;372,0.198
brent_spot,BOCPD,"alpha=0.001, beta=10, kappa=0.1, mu=10",220;221;222,76.646
brent_spot,CUSUM,"twarmup=45, plimit=0.5286127329037958",48;96;136;194;230;277;381;466,0.063
brent_spot,PELT,"penalty=8, jump=7, min_size=1",132;200;225;240;280;378;453;500,132.082
centralia,MicroWatch(idx=0),"{""batch_size"":3.0,""threshold_ratio"":3.702761017,""max_dist_size"":23.0,""new_dist_buffer_size"":12.0}",,0.026
centralia,MicroWatch(idx=1),"{""new_dist_buffer_size"":12.0,""threshold_ratio"":2.504126059,""batch_size"":6.0,""max_dist_size"":36.0}",12,0.011
centralia,MicroWatch(idx=2),"{""batch_size"":4.0,""threshold_ratio"":0.669825711,""new_dist_buffer_size"":11.0,""max_dist_size"":75.0}",12,0.012
centralia,MicroWatch(idx=3),"{""new_dist_buffer_size"":7.0,""batch_size"":6.0,""threshold_ratio"":0.460242184,""max_dist_size"":42.0}",12,0.010
centralia,MicroWatch(idx=4),"{""new_dist_buffer_size"":10.0,""batch_size"":6.0,""max_dist_size"":15.0,""threshold_ratio"":0.447929601}",12,0.013
centralia,MicroWatch(idx=5),"{""threshold_ratio"":1.744701207,""new_dist_buffer_size"":3.0,""max_dist_size"":82.0,""batch_size"":3.0}",3,0.019
centralia,MicroWatch(idx=6),"{""threshold_ratio"":2.747649263,""max_dist_size"":57.0,""new_dist_buffer_size"":48.0,""batch_size"":4.0}",,0.006
centralia,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.094
centralia,CUSUM,"twarmup=11, plimit=0.5221963846740868",,0.003
centralia,PELT,"penalty=1, jump=6, min_size=1",9;15,0.083
scanline_42049,MicroWatch(idx=0),"{""max_dist_size"":77.0,""threshold_ratio"":1.057818306,""new_dist_buffer_size"":49.0,""batch_size"":3.0}",,0.198
scanline_42049,MicroWatch(idx=1),"{""new_dist_buffer_size"":15.0,""batch_size"":3.0,""threshold_ratio"":2.474819606,""max_dist_size"":44.0}",60;78;168;183;276;348;363;468,0.307
scanline_42049,MicroWatch(idx=2),"{""threshold_ratio"":0.711666818,""new_dist_buffer_size"":37.0,""batch_size"":6.0,""max_dist_size"":82.0}",42;186;228;270;354;468,0.234
scanline_42049,MicroWatch(idx=3),"{""max_dist_size"":89.0,""threshold_ratio"":1.646664095,""new_dist_buffer_size"":16.0,""batch_size"":5.0}",55,0.257
scanline_42049,MicroWatch(idx=4),"{""threshold_ratio"":0.343397746,""max_dist_size"":81.0,""new_dist_buffer_size"":22.0,""batch_size"":3.0}",24;51;75;183;273;354;468,0.911
scanline_42049,MicroWatch(idx=5),"{""threshold_ratio"":0.546164796,""max_dist_size"":79.0,""new_dist_buffer_size"":49.0,""batch_size"":4.0}",76;128;180;276;364,0.385
scanline_42049,MicroWatch(idx=6),"{""new_dist_buffer_size"":49.0,""threshold_ratio"":0.965736645,""max_dist_size"":91.0,""batch_size"":4.0}",52;192;272;356,0.312
scanline_42049,BOCPD,"alpha=0.01, beta=0.001, kappa=100, mu=200",49;50;72;73;178;270;271,71.037
scanline_42049,CUSUM,"twarmup=288, plimit=0.15471524599019587",38;75;175;251;291;330;394;436;468,0.053
scanline_42049,PELT,"penalty=8, jump=1, min_size=1",55;77;184;275;349;363;466;481,103.861
global_co2,MicroWatch(idx=0),"{""threshold_ratio"":2.684057905,""new_dist_buffer_size"":43.0,""batch_size"":5.0,""max_dist_size"":77.0}",,0.089
global_co2,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":48.0,""threshold_ratio"":2.926155975,""max_dist_size"":78.0}",95,0.067
global_co2,MicroWatch(idx=2),"{""max_dist_size"":88.0,""new_dist_buffer_size"":48.0,""batch_size"":5.0,""threshold_ratio"":3.430039325}",,0.074
global_co2,MicroWatch(idx=3),"{""batch_size"":5.0,""threshold_ratio"":3.999326564,""new_dist_buffer_size"":39.0,""max_dist_size"":73.0}",95,0.082
global_co2,MicroWatch(idx=4),"{""batch_size"":5.0,""threshold_ratio"":2.822924395,""new_dist_buffer_size"":47.0,""max_dist_size"":93.0}",95,0.145
global_co2,MicroWatch(idx=5),"{""batch_size"":5.0,""max_dist_size"":78.0,""new_dist_buffer_size"":21.0,""threshold_ratio"":3.563115209}",95,0.110
global_co2,MicroWatch(idx=6),"{""threshold_ratio"":3.323671819,""max_dist_size"":26.0,""new_dist_buffer_size"":48.0,""batch_size"":5.0}",65,0.054
global_co2,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,3.401
global_co2,CUSUM,"twarmup=47, plimit=0.09000398187665967",46;81,0.010
global_co2,PELT,"penalty=30, jump=1, min_size=1",104,4.232
robocalls,MicroWatch(idx=0),"{""max_dist_size"":83.0,""new_dist_buffer_size"":39.0,""threshold_ratio"":2.295247891,""batch_size"":5.0}",,0.044
robocalls,MicroWatch(idx=1),"{""batch_size"":3.0,""max_dist_size"":53.0,""threshold_ratio"":3.551455921,""new_dist_buffer_size"":3.0}",3;9;36,0.043
robocalls,MicroWatch(idx=2),"{""threshold_ratio"":1.06948619,""batch_size"":6.0,""new_dist_buffer_size"":3.0,""max_dist_size"":79.0}",6;36,0.029
robocalls,MicroWatch(idx=3),"{""new_dist_buffer_size"":8.0,""threshold_ratio"":2.901260681,""batch_size"":4.0,""max_dist_size"":18.0}",8;36,0.033
robocalls,MicroWatch(idx=4),"{""batch_size"":3.0,""threshold_ratio"":2.398975871,""max_dist_size"":22.0,""new_dist_buffer_size"":6.0}",6;39,0.055
robocalls,MicroWatch(idx=5),"{""max_dist_size"":53.0,""new_dist_buffer_size"":9.0,""batch_size"":3.0,""threshold_ratio"":2.619966533}",9;36,0.051
robocalls,MicroWatch(idx=6),"{""threshold_ratio"":0.227726614,""new_dist_buffer_size"":39.0,""max_dist_size"":23.0,""batch_size"":5.0}",40,0.020
robocalls,BOCPD,"alpha=0.001, beta=0.001, kappa=0.5, mu=0",,0.869
robocalls,CUSUM,"twarmup=238, plimit=0.34212335905445085",38,0.005
robocalls,PELT,"penalty=1, jump=1, min_size=8",8;32;40;52,0.328
jfk_passengers,MicroWatch(idx=0),"{""max_dist_size"":25.0,""batch_size"":3.0,""new_dist_buffer_size"":3.0,""threshold_ratio"":0.442342413}",,0.139
jfk_passengers,MicroWatch(idx=1),"{""new_dist_buffer_size"":35.0,""threshold_ratio"":3.04901229,""batch_size"":6.0,""max_dist_size"":85.0}",330,0.206
jfk_passengers,MicroWatch(idx=2),"{""new_dist_buffer_size"":40.0,""max_dist_size"":15.0,""threshold_ratio"":2.736206023,""batch_size"":4.0}",364,0.101
jfk_passengers,MicroWatch(idx=3),"{""new_dist_buffer_size"":45.0,""max_dist_size"":28.0,""batch_size"":4.0,""threshold_ratio"":2.192570456}",340,0.117
jfk_passengers,MicroWatch(idx=4),"{""max_dist_size"":51.0,""threshold_ratio"":3.51548693,""batch_size"":4.0,""new_dist_buffer_size"":40.0}",328,0.197
jfk_passengers,MicroWatch(idx=5),"{""batch_size"":4.0,""threshold_ratio"":2.194242833,""new_dist_buffer_size"":46.0,""max_dist_size"":34.0}",328;460,0.131
jfk_passengers,MicroWatch(idx=6),"{""max_dist_size"":51.0,""batch_size"":4.0,""threshold_ratio"":1.058336283,""new_dist_buffer_size"":46.0}",76;124;328;376;424,0.132
jfk_passengers,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,67.352
jfk_passengers,CUSUM,"twarmup=297, plimit=0.7280877609132768",54;138;331;369;439,0.089
jfk_passengers,PELT,"penalty=20, jump=9, min_size=1",329;468,91.215
children_per_woman,MicroWatch(idx=0),"{""threshold_ratio"":0.974587839,""max_dist_size"":41.0,""batch_size"":3.0,""new_dist_buffer_size"":32.0}",,0.111
children_per_woman,MicroWatch(idx=1),"{""max_dist_size"":97.0,""new_dist_buffer_size"":10.0,""batch_size"":4.0,""threshold_ratio"":3.123224082}",116;132;144;176,0.299
children_per_woman,MicroWatch(idx=2),"{""threshold_ratio"":3.981074313,""batch_size"":6.0,""max_dist_size"":96.0,""new_dist_buffer_size"":17.0}",114,0.182
children_per_woman,MicroWatch(idx=3),"{""threshold_ratio"":2.227882663,""new_dist_buffer_size"":6.0,""max_dist_size"":92.0,""batch_size"":5.0}",110;175;190,0.351
children_per_woman,MicroWatch(idx=4),"{""threshold_ratio"":3.778902626,""new_dist_buffer_size"":26.0,""max_dist_size"":100.0,""batch_size"":3.0}",111;174,0.777
children_per_woman,MicroWatch(idx=5),"{""threshold_ratio"":1.298459232,""new_dist_buffer_size"":25.0,""max_dist_size"":91.0,""batch_size"":5.0}",,0.205
children_per_woman,MicroWatch(idx=6),"{""threshold_ratio"":2.396303304,""new_dist_buffer_size"":31.0,""max_dist_size"":93.0,""batch_size"":5.0}",110;175,0.224
children_per_woman,BOCPD,"alpha=0.1, beta=0.001, kappa=5, mu=5",110;147;167;168,28.244
children_per_woman,CUSUM,"twarmup=150, plimit=0.2550581439882834",35;72;108;146;181;223;262;300,0.024
children_per_woman,PELT,"penalty=30, jump=8, min_size=1",178;301,35.368
quality_control_1,MicroWatch(idx=0),"{""threshold_ratio"":0.955002515,""max_dist_size"":10.0,""new_dist_buffer_size"":33.0,""batch_size"":6.0}",312,0.085
quality_control_1,MicroWatch(idx=1),"{""max_dist_size"":62.0,""new_dist_buffer_size"":43.0,""batch_size"":6.0,""threshold_ratio"":3.497463148}",144,0.103
quality_control_1,MicroWatch(idx=2),"{""batch_size"":3.0,""max_dist_size"":89.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":0.165061772}",27;54;81;108;135;162;189;216;243;270;297,0.117
quality_control_1,MicroWatch(idx=3),"{""max_dist_size"":49.0,""threshold_ratio"":1.768767217,""batch_size"":6.0,""new_dist_buffer_size"":39.0}",102,0.101
quality_control_1,MicroWatch(idx=4),"{""batch_size"":5.0,""new_dist_buffer_size"":20.0,""max_dist_size"":94.0,""threshold_ratio"":2.082744893}",145,0.415
quality_control_1,MicroWatch(idx=5),"{""threshold_ratio"":3.822143826,""max_dist_size"":15.0,""batch_size"":3.0,""new_dist_buffer_size"":25.0}",144;279,0.099
quality_control_1,MicroWatch(idx=6),"{""batch_size"":6.0,""threshold_ratio"":1.294981196,""new_dist_buffer_size"":50.0,""max_dist_size"":22.0}",108;180,0.080
quality_control_1,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=5",141,30.481
quality_control_1,CUSUM,"twarmup=92, plimit=0.14519033392336333",100;153;211;302,0.049
quality_control_1,PELT,"penalty=5, jump=1, min_size=1",144;313,46.541
scanline_126007,MicroWatch(idx=0),"{""threshold_ratio"":0.977110113,""new_dist_buffer_size"":46.0,""max_dist_size"":32.0,""batch_size"":3.0}",,0.144
scanline_126007,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":47.0,""max_dist_size"":55.0,""threshold_ratio"":1.557976055}",180;255,0.135
scanline_126007,MicroWatch(idx=2),"{""threshold_ratio"":3.57350436,""batch_size"":6.0,""max_dist_size"":54.0,""new_dist_buffer_size"":10.0}",,0.112
scanline_126007,MicroWatch(idx=3),"{""new_dist_buffer_size"":10.0,""batch_size"":4.0,""threshold_ratio"":2.818609088,""max_dist_size"":48.0}",,0.148
scanline_126007,MicroWatch(idx=4),"{""max_dist_size"":78.0,""batch_size"":6.0,""new_dist_buffer_size"":11.0,""threshold_ratio"":2.028758647}",108;120;162;174;252;264;288;306;318,0.496
