dataset,algorithm,f1,precision,recall,cover
gdp_japan,CUSUM,1.0,1.0,1.0,0.7203065134099618
gdp_japan,PELT,0.888888888888889,1.0,0.8,0.802140309155767
global_co2,MicroWatch(idx=0),0.846153846153846,1.0,0.7333333333333333,0.7583210059171598
global_co2,MicroWatch(idx=1),0.9285714285714285,1.0,0.8666666666666666,0.7486234817813765
global_co2,MicroWatch(idx=2),0.846153846153846,1.0,0.7333333333333333,0.7583210059171598
global_co2,MicroWatch(idx=3),0.9285714285714285,1.0,0.8666666666666666,0.7486234817813765
global_co2,MicroWatch(idx=4),0.9285714285714285,1.0,0.8666666666666666,0.7486234817813765
global_co2,MicroWatch(idx=5),0.9285714285714285,1.0,0.8666666666666666,0.7486234817813765
global_co2,MicroWatch(idx=6),0.5945945945945945,0.5,0.7333333333333333,0.5960252472642533
global_co2,BOCPD,0.846153846153846,1.0,0.7333333333333333,0.7583210059171598
global_co2,CUSUM,0.7536231884057971,0.6666666666666666,0.8666666666666666,0.6040654031958379
global_co2,PELT,0.846153846153846,1.0,0.7333333333333333,0.7583210059171598
homeruns,MicroWatch(idx=0),0.6592178770949719,1.0,0.4916666666666666,0.5107153116920425
homeruns,MicroWatch(idx=1),0.8732394366197184,1.0,0.775,0.7027858951879993
homeruns,MicroWatch(idx=2),0.8732394366197184,1.0,0.775,0.7027858951879993
homeruns,MicroWatch(idx=3),0.6222222222222221,0.6666666666666666,0.5833333333333333,0.5988600608431117
homeruns,MicroWatch(idx=4),0.9473684210526316,1.0,0.9,0.6921555845284659
homeruns,MicroWatch(idx=5),0.8732394366197184,1.0,0.775,0.7027858951879993
homeruns,MicroWatch(idx=6),0.6007905138339921,0.5714285714285714,0.6333333333333333,0.37848399246704323
homeruns,BOCPD,0.7622950819672132,0.75,0.775,0.6502603754324732
homeruns,CUSUM,0.5821596244131455,0.6666666666666666,0.5166666666666666,0.5198972540831412
homeruns,PELT,0.8118811881188119,1.0,0.6833333333333333,0.6938028443405415
iceland_tourism,MicroWatch(idx=0),0.9473684210526316,1.0,0.9,0.9460215651119921
iceland_tourism,MicroWatch(idx=1),0.8,0.6666666666666666,1.0,0.7075376884422111
iceland_tourism,MicroWatch(idx=2),0.6428571428571429,0.5,0.9,0.8304084525190053
iceland_tourism,MicroWatch(idx=3),0.6428571428571429,0.5,0.9,0.8857101599953794
iceland_tourism,MicroWatch(idx=4),0.8,0.6666666666666666,1.0,0.7212820861062067
iceland_tourism,MicroWatch(idx=5),0.6428571428571429,0.5,0.9,0.7747718182750487
iceland_tourism,MicroWatch(idx=6),0.391304347826087,0.25,0.9,0.6429841515268652
iceland_tourism,BOCPD,0.9473684210526316,1.0,0.9,0.9460215651119921
iceland_tourism,CUSUM,0.6666666666666666,0.5,1.0,0.36192728347620456
iceland_tourism,PELT,0.9473684210526316,1.0,0.9,0.9460215651119921
jfk_passengers,MicroWatch(idx=0),0.7234042553191489,1.0,0.5666666666666667,0.6298433048433048
jfk_passengers,MicroWatch(idx=1),0.7755102040816326,1.0,0.6333333333333333,0.8345900167057547
jfk_passengers,MicroWatch(idx=2),0.53125,0.5,0.5666666666666667,0.7619879864327319
jfk_passengers,MicroWatch(idx=3),0.53125,0.5,0.5666666666666667,0.8118830747810138
jfk_passengers,MicroWatch(idx=4),0.7755102040816326,1.0,0.6333333333333333,0.8392664497512488
jfk_passengers,MicroWatch(idx=5),0.6495726495726496,0.6666666666666666,0.6333333333333333,0.8274532462542108
jfk_passengers,MicroWatch(idx=6),0.43678160919540227,0.3333333333333333,0.6333333333333333,0.4783784135918282
jfk_passengers,BOCPD,0.7234042553191489,1.0,0.5666666666666667,0.6298433048433048
jfk_passengers,CUSUM,0.43678160919540227,0.3333333333333333,0.6333333333333333,0.4752285422980287
jfk_passengers,PELT,0.7755102040816326,1.0,0.6333333333333333,0.8369225621126587
lga_passengers,MicroWatch(idx=0),0.5347985347985348,1.0,0.365,0.3830283439257799
lga_passengers,MicroWatch(idx=1),0.8795518207282913,1.0,0.7849999999999999,0.6022459994574695
lga_passengers,MicroWatch(idx=2),0.5905292479108635,0.6666666666666666,0.53,0.46917252321322084
lga_passengers,MicroWatch(idx=3),0.5145631067961165,0.5,0.53,0.5264491858518408
lga_passengers,MicroWatch(idx=4),0.7949790794979081,0.8333333333333334,0.76,0.587095306079574
lga_passengers,MicroWatch(idx=5),0.453551912568306,0.5,0.41500000000000004,0.473117686193991
lga_passengers,MicroWatch(idx=6),0.5771392879450343,0.46153846153846156,0.77,0.4074281043244031
lga_passengers,BOCPD,0.5347985347985348,1.0,0.365,0.3830283439257799
lga_passengers,CUSUM,0.2831215970961888,0.2222222222222222,0.39,0.4180723856603043
lga_passengers,PELT,0.5260663507109005,0.5,0.5549999999999999,0.5362034472385672
measles,MicroWatch(idx=0),0.9473684210526316,1.0,0.9,0.9511852891971232
measles,MicroWatch(idx=1),0.9473684210526316,1.0,0.9,0.9511852891971232
measles,MicroWatch(idx=2),0.9473684210526316,1.0,0.9,0.9511852891971232
measles,MicroWatch(idx=3),0.9473684210526316,1.0,0.9,0.9511852891971232
measles,MicroWatch(idx=4),0.9473684210526316,1.0,0.9,0.9511852891971232
measles,MicroWatch(idx=5),0.6428571428571429,0.5,0.9,0.6530015645237521
measles,MicroWatch(idx=6),0.9473684210526316,1.0,0.9,0.9511852891971232
measles,BOCPD,0.9473684210526316,1.0,0.9,0.9511852891971232
measles,CUSUM,0.07964601769911504,0.041666666666666664,0.9,0.08496468213925328
measles,PELT,0.9473684210526316,1.0,0.9,0.9511852891971232
nile,MicroWatch(idx=0),0.8235294117647058,1.0,0.7,0.75808
nile,MicroWatch(idx=1),1.0,1.0,1.0,0.8879999999999999
nile,MicroWatch(idx=2),0.8235294117647058,1.0,0.7,0.75808
nile,MicroWatch(idx=3),0.8235294117647058,1.0,0.7,0.75808
nile,MicroWatch(idx=4),1.0,1.0,1.0,0.8879999999999999
nile,MicroWatch(idx=5),1.0,1.0,1.0,0.8572631578947367
nile,MicroWatch(idx=6),1.0,1.0,1.0,0.8879999999999999
nile,BOCPD,0.8235294117647058,1.0,0.7,0.75808
nile,CUSUM,0.5833333333333334,0.5,0.7,0.7047317073170731
